cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,temperature,timestamp,unknown_134,unknown_135,unknown_136,unknown_87,activity_event,activity_event_group,activity_event_type,activity_local_timestamp,activity_num_sessions,activity_timestamp,activity_total_timer_time,activity_type,activity_unknown_7,device_ant_device_number,device_ant_network,device_ant_transmission_type,device_battery_status,device_battery_voltage,device_cum_operating_time,device_device_index,device_device_type,device_garmin_product,device_hardware_version,device_manufacturer,device_sensor_position,device_serial_number,device_software_version,device_source_type,device_timestamp,device_unknown_13,device_unknown_15,device_unknown_16,device_unknown_17,device_unknown_23,device_unknown_24,device_unknown_29,device_unknown_30,device_unknown_31,device_unknown_32,device_unknown_8,device_unknown_9
0,0.0,94.20000000000005,0.0,0.0,124,,,26,2025-03-18 23:35:56,,176,124,,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
0,0.0,94.39999999999998,0.0,0.0,126,,,26,2025-03-18 23:35:57,,176,126,0.0,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
0,0.0,94.20000000000005,0.0,0.0,123,,,26,2025-03-18 23:36:01,,176,123,894.0,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
90,0.0,93.79999999999995,0.0,0.0,114,,,26,2025-03-18 23:36:04,,176,114,894.0,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
91,0.0,93.79999999999995,0.0,0.0,111,,,26,2025-03-18 23:36:05,,176,111,894.0,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
92,0.0,93.39999999999998,0.0,0.0,114,,,26,2025-03-18 23:36:12,,162,114,881.0,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
92,0.0,93.79999999999995,0.0,0.0,117,,,26,2025-03-18 23:36:15,,176,117,881.0,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
94,12.55,94.0,4.208,0.0,121,,,26,2025-03-18 23:36:20,,176,121,881.0,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
94,12.55,94.20000000000005,4.208,0.0,126,298104181.0,1446986218.0,26,2025-03-18 23:36:23,,176,126,,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
93,21.73,94.39999999999998,4.208,0.0,126,298103188.0,1446986356.0,25,2025-03-18 23:36:26,,176,126,,activity,,stop,2025-03-19 07:41:49,1,2025-03-18 23:41:49,338.382,manual,,,,,,,,creator,,3441,,garmin,,3304429333,13.0,local,2025-03-18 23:35:56,,,,,,,"(None, None, None, None, None, None)",,,,,
